Date;Total APU;%PIB
1989T4;65.558;0.255605678393331
1990T1;66.657;0.256371104837655
1990T2;67.342;0.255701278088714
1990T3;68.437;0.25866865224852
1990T4;69.253;0.260062186906201
1991T1;70.359;0.262139394865184
1991T2;71.731;0.263626774668955
1991T3;72.64;0.264649732581355
1991T4;73.75;0.266026519687766
1992T1;74.761;0.265421469881315
1992T2;75.567;0.267760143718176
1992T3;76.794;0.271058056135991
1992T4;77.881;0.275063749832237
1993T1;79;0.278432740870754
1993T2;79.893;0.280299761075267
1993T3;80.121;0.280099285077523
1993T4;80.528;0.28031676964581
1994T1;81.056;0.27988273764101
1994T2;81.398;0.277190162572279
1994T3;81.723;0.276025939811531
1994T4;82.112;0.273961450815925
1995T1;82.361;0.273058509932897
1995T2;83.104;0.273356731455563
1995T3;83.634;0.273654452111943
