Date;Déficit;Dépenses_totales;Recettes_totales;Salaires_fonctionnaires;Price_index;Charge_interet;GDP;GDP_deflator;G 
2001T4;-8.652297807;202.88;194.228;50.236;93;11.781;388775.0;82.4115794306098;101.455
2002T1;-8.792601702;205.166;196.373;50.813;93.7;11.714;392415.0;82.9588456252739;102.728
2002T2;-10.20943761;208.461;198.252;51.434;94;11.943;395679.0;83.2025475479333;104.42
2002T3;-12.63183967;211.283;198.651;52.06;94.4;11.888;398999.0;83.6123522945547;105.987
2002T4;-18.41370261;213.419;195.005;52.674;94.8;11.845;401453.0;84.0715249099886;107.542
2003T1;-15.37711437;214.179;198.802;52.935;95.5;11.684;403222.0;84.3475363346159;108.399
2003T2;-16.48274328;216.088;199.606;53.311;95.7;11.58;404654.0;84.8277597090869;109.68
2003T3;-16.56581067;218.13;201.564;53.774;96.3;11.5;409601.0;85.2889732059231;110.847
2003T4;-17.11493391;220.319;203.204;54.117;96.8;11.569;414347.0;85.6017882086399;112.173
2004T1;-14.8803544;222.313;207.433;54.559;97.3;11.778;419690.0;85.9612890864697;113.572
2004T2;-15.34480245;224.733;209.388;54.643;97.9;11.792;423513.0;86.1733594894782;114.523
2004T3;-15.49107342;226.614;211.122;54.796;98.2;11.927;426314.0;86.4539528633412;115.286
2004T4;-15.23467849;228.928;213.693;55.226;98.7;11.795;431951.0;86.9439967685252;116.626
2005T1;-13.67626827;231.736;218.06;55.882;99.2;11.926;435089.0;87.3626328793458;117.75
2005T2;-16.85974962;234.472;217.612;56.428;99.7;11.884;438518.0;87.8873192535546;118.955
2005T3;-16.33871986;236.72;220.381;57.02;100.4;11.994;441954.0;88.1521017787753;120.373
2005T4;-12.28454434;238.007;225.722;57.399;100.8;11.909;448511.0;88.8075376471172;120.962
2006T1;-11.87374496;241.399;229.525;57.747;101.3;12.065;453901.0;89.1472987670039;122.094
2006T2;-12.6925505;243.284;230.592;57.947;101.9;12.085;460741.0;89.5870609248327;122.888
